Channel #,Time(s),SPR pixel position,SPR angle,Refractive Index
1,0,72.8075392,68.8057054422207,1.33027598472266
1,1.747,72.8093056,68.8055967401379,1.33027508405531
1,3.385,72.8252416,68.8046160671967,1.33026695832949
1,5.132,72.8130112,68.8053687027121,1.3302731946018
1,6.879,72.8425728,68.8035495543169,1.33025812090862
1,8.627,72.8103104,68.8055349060699,1.3302745717178
1,10.374,72.8210368,68.8048748215143,1.33026910237078
1,13.759,72.8178304,68.8050721371995,1.33027073731285
1,15.506,72.8172224,68.8051095524226,1.33027104733066
1,17.253,72.8077184,68.8056944144642,1.33027589335075
1,19.001,72.8198272,68.8049492578943,1.33026971914653
1,20.748,72.8193216,68.8049803715408,1.33026997695184
1,22.495,72.8292864,68.8043671599857,1.33026489585616
1,24.133,72.8122944,68.8054128135111,1.33027356009301
1,25.896,72.834272,68.8040603596369,1.33026235363964
1,27.643,72.8170496,68.805120186227,1.33027113544091
1,29.390,72.8270208,68.8045065794041,1.3302660511043
1,31.138,72.8129024,68.8053753980992,1.33027325007818
1,32.776,72.8176704,68.8050819833086,1.33027081889652
1,34.523,72.8276416,68.8044683768759,1.33026573455376
1,36.270,72.828896,68.8043911842127,1.3302650949247
1,38.017,72.835776,68.8039678078496,1.33026158672737
1,39.764,72.825824,68.8045802276455,1.33026666136044
1,41.402,72.8297856,68.8043364404964,1.33026464130928
1,43.150,72.8467712,68.803291199541,1.33025598004098
1,44.897,72.8492288,68.8031399679926,1.33025472684205
1,46.644,72.8493888,68.8031301222019,1.33025464525337
1,48.391,72.8675584,68.8020120447049,1.33024537987764
1,50.138,72.8593728,68.8025157480529,1.3302495540695
1,53.524,72.8349696,68.8040174313434,1.33026199792316
1,57.018,72.8461312,68.8033305828192,1.33025630639389
1,58.765,72.85472,68.8028020613776,1.33025192670404
1,62.26,72.848768,68.8031683238789,1.33025496181731
1,63.929,72.8674624,68.8020179520692,1.33024542883258
1,65.676,72.8653056,68.8021506710064,1.33024652868453
1,67.423,72.8473536,68.8032553607802,1.33025568305949
1,69.061,72.8870528,68.8008124679706,1.33023543857122
1,70.809,72.8642752,68.802214076893,1.33024705413146
1,74.303,72.8633856,68.802268818675,1.33024750777734
1,76.05,72.8579072,68.8026059346338,1.33025030143538
1,77.797,72.8625664,68.8023192284177,1.33024792552249
1,79.435,72.8591104,68.8025318949854,1.33024968787752
1,81.183,72.8558336,68.8027335350931,1.33025135884023
1,82.93,72.870816,68.8018115884881,1.33024371866785
1,84.677,72.8494016,68.8031293345387,1.33025463872628
1,86.424,72.8544896,68.8028162392393,1.33025204419295
1,89.81,72.8689664,68.8019254034289,1.33024466187077
1,91.557,72.8590592,68.8025350456068,1.3302497139864
1,93.304,72.8622464,68.8023389197349,1.33024808870401
1,95.051,72.8611456,68.8024066579155,1.33024865004766
1,96.798,72.8613952,68.8023912986702,1.33024852276636
1,98.546,72.8738304,68.8016260981644,1.33024218146827
1,100.184,72.8539968,68.8028465641215,1.3302522954885
1,101.931,72.8700736,68.8018572719678,1.33024409725489
1,103.678,72.8516864,68.802988736825,1.33025347363713
1,105.425,72.8589632,68.8025409530226,1.33024976294053
1,107.172,72.8332032,68.8041261305682,1.3302628986355
1,108.81,72.8257536,68.8045845598978,1.33026669725781
