Pixel #,Chan 1
1, 2.76678876678877
2, 2.84859584859585
3, 2.69352869352869
4, 2.53113553113553
5, 2.56410256410256
6, 2.60683760683761
7, 2.73137973137973
8, 2.74236874236874
9, 2.6996336996337
10, 2.82173382173382
11, 2.78754578754579
12, 2.74358974358974
13, 2.75335775335775
14, 2.91941391941392
15, 3.14529914529915
16, 3.10989010989011
17, 3.02442002442002
18, 2.8998778998779
19, 2.99267399267399
20, 3.19413919413919
21, 3.01709401709402
22, 2.83882783882784
23, 2.71672771672772
24, 2.60561660561661
25, 2.7045177045177
26, 2.57142857142857
27, 2.45665445665446
28, 2.42612942612943
29, 2.5970695970696
30, 2.83394383394383
31, 3.19413919413919
32, 3.2991452991453
33, 3.18437118437118
34, 3.23076923076923
35, 3.69352869352869
36, 3.92796092796093
37, 3.91208791208791
38, 4.14163614163614
39, 4.09279609279609
40, 4.01709401709402
41, 3.80830280830281
42, 3.46153846153846
43, 3.29181929181929
44, 3.21001221001221
45, 3.33455433455433
46, 3.23565323565324
47, 3.0989010989011
48, 2.91941391941392
49, 2.90598290598291
50, 3.05250305250305
51, 3.16727716727717
52, 3.12210012210012
53, 3.05738705738706
54, 3.09279609279609
55, 3.18437118437118
56, 3.03540903540904
57, 3.02197802197802
58, 3.00976800976801
59, 2.89133089133089
60, 2.82051282051282
61, 2.86813186813187
62, 2.83150183150183
63, 2.84981684981685
64, 2.8021978021978
65, 2.67887667887668
66, 2.66422466422466
67, 2.75091575091575
68, 2.68620268620269
69, 2.61050061050061
70, 2.56776556776557
71, 2.61050061050061
72, 2.63369963369963
73, 2.6043956043956
74, 2.51648351648352
75, 2.25763125763126
76, 2.06715506715507
77, 2.06349206349206
78, 2.02808302808303
79, 1.98168498168498
80, 2.05494505494505
81, 1.98534798534799
82, 1.85103785103785
83, 1.78754578754579
84, 1.68253968253968
85, 1.57631257631258
86, 1.43101343101343
87, 1.39072039072039
88, 1.31257631257631
89, 1.30525030525031
90, 1.28449328449328
91, 1.32722832722833
92, 1.3028083028083
93, 1.28205128205128
94, 1.22588522588523
95, 1.22100122100122
96, 1.21978021978022
97, 1.24420024420024
98, 1.25885225885226
99, 1.31746031746032
100, 1.35042735042735
101, 1.41025641025641
102, 1.51404151404151
103, 1.61538461538462
104, 1.75579975579976
105, 1.92918192918193
106, 2.11599511599512
107, 2.25641025641026
108, 2.2014652014652
109, 2.15384615384615
110, 2.1978021978022
111, 2.32356532356532
112, 2.27350427350427
113, 2.32478632478633
114, 2.41147741147741
115, 2.43223443223443
116, 2.44078144078144
117, 2.55067155067155
118, 2.60561660561661
119, 2.8046398046398
120, 2.75702075702076
121, 2.76556776556777
122, 2.76190476190476
123, 2.81318681318681
124, 2.88156288156288
125, 2.89255189255189
126, 2.86691086691087
127, 2.82539682539683
128, 2.77289377289377
