Channel #,Time(s),SPR pixel position,SPR angle,SPR reflectance value,Refractive Index,SPR Curve Data
1,82.93,72.870816,68.8018115884881,27.2007168,1.33024371866785,¢¢¡ ¢¡££¥¥¢ ¡¥¤¢Ÿ˜’??Ž?Ž????Ž??‹‡ˆŒŽŽ?ˆ…??……€{wvuuwuqnmnllljifa][[][WRRPNKIHDBB@@>>??BEIPW]][UUW^floqtwy~„Š??‘“”–˜œ¡¤¤¡œ™šž¡¡ ¡ 
1,84677,72.8494016,68.8031293345387,27.2038336,1.33025463872628,¢¢¡ ¢¢££¥¥¢ ¡¥¤¢Ÿ˜’??Ž?Ž???????‹‡ˆŒ?ŽŒˆ„??……€zwvuuwuqnmnllljifa\[[\[WRRPNKJGDCB@@>>??BEIPW]][UTW^floqtwy~„‹??‘“•–˜œ¡¤¤¡œ™šŸ¡¡   
1,86424,72.8544896,68.8028162392393,27.2066624,1.33025204419295,¢¢¡ ¡¡£¤¥¥¢ ¢¥¤¢Ÿ˜’????Ž????Ž??‹‡ˆŒ?ŽŒˆ…??……€zwvuuwuqnmnllljifa][[][WRRPNKJGDBB@@>>>?BEIPW]][UTW^floptwy~„‹??‘“•–˜œ¡¤¤¡œ™šŸ¡¡   
1,89.81,72.8689664,68.8019254034289,27.1956032,1.33024466187077,¢¢¡¡¡¡££¥¥¢ ¡¥¥¢Ÿ˜’??Ž?Ž????Ž??‹‡ˆŒ?ŽŒˆ…??……€zwvuuwuqnmnllljifa\[[][WRRPNKJGDBB@@>>??BEIPW]][UUW^floqtwy~„‹??‘“•–˜œ¡¤¤¡œ™šŸ¢¡   
1,91557,72.8590592,68.8025350456068,27.1945984,1.3302497139864,¢¢¡ ¢¡££¥¥¢ ¡¥¤¢Ÿ˜’??Ž?Ž??‘????‹‡ˆŒ?ŽŒˆ…??……€{wvuuwuqnmnllljifa][[\[WRRPNKJGDBB@@>>??BEIPW]][UTW^floqtwy~„‹??‘“•–—œ¡¤¤¡œ™šŸ¡¡   
1,93304,72.8622464,68.8023389197349,27.1945728,1.33024808870401,¢¢¡ ¡¢£¤¦¥¢¡¡¥¤¢Ÿ˜’??Ž?Ž??‘?Ž??‹‡ˆŒ?ŽŒ‰…??……€zwvuuwupnmnllljiea][[][WRRPNKJGDBB@@>>>?BEIPW]][UUW^floqtwz~„‹??‘“•–˜œ¡¤¤¡œ™šŸ¢¢   
1,95051,72.8611456,68.8024066579155,27.195664,1.33024865004766,¢¡¡ ¢¡££¥¥¢ ¢¥¤¢Ÿ˜’??Ž?Ž????Ž??‹‡ˆŒ?ŽŒˆ…??……€zwvuuwupnmnllljiea\[[\[WRRPNKJGDBB@@>>>?BEIPW]][UUW^floqtwy~„‹??‘“”–˜œ¡¥¤¡œ™šŸ¡¡   
1,96798,72.8613952,68.8023912986702,27.1938176,1.33024852276636,¢¡¡ ¢¡££¥¥¢ ¢¥¤¢Ÿ˜’??ŽŽŽ???????‹‡ˆŒŽŽŒˆ„?€……€{wvuuwuqnmnllkjifa][[\[WRRPNKJGEBB@@>>??BEIPW]][UUW^floqtwy~„‹??‘“•–˜œ¡¤¤¡œ™šŸ¡¢   
1,98546,72.8738304,68.8016260981644,27.195648,1.33024218146827,¢¢¡ ¡¡£¤¦¥¢ ¢¥¤¢Ÿ˜’??ŽŽŽ????Ž??‹‡ˆŒŽŽŒˆ…??……€zwvuuwuqnmnllljiea\[[\[WRRPNKJGDBB@@>>??BEIPW]][UUW^floqtwy~„‹?‘‘“”–˜œ¡¤¤¡œ™šŸ¢¡   
1,100184,72.8539968,68.8028465641215,27.1961696,1.3302522954885,¢¢¢ ¡¡££¥¥¢ ¡¥¤¢Ÿ˜’??ŽŽŽ???????‹‡ˆŒ?ŽŒˆ…??……€zwvuuwuqnmnllljifa\[[\[WRRPNKIGDBB@@>>??BEIPW]][UUW^flpqtwy~„‹??‘“•–˜œ ¤¤¡œ˜šž¡¡   
1,101931,72.8700736,68.8018572719678,27.1926848,1.33024409725489,¢¢¡ ¢¡££¥¥¢ ¡¥¤¢Ÿ˜’‘?ŽŽŽ????Ž??‹‡ˆŒŽŽŒ‰…??……€zwvuuwuqnmnllljiea][[][WRRPNJJGDBB@@>>??BEIPW]][UUW^floqtwz~„‹??‘“•–˜œ¡¤¤¡œ™šŸ¢¡   
1,103678,72.8516864,68.802988736825,27.1890656,1.33025347363713,¢¢¡ ¡¡£¤¥¥¢ ¢¥¥¢Ÿ˜’‘?Ž?Ž????Ž??‹‡ˆŒ?ŽŒ‰…??……€zwvuuwuqnmnllljiea\[[][WRQQNKJGDCB@@>>??BEIPW]][UUW^floqtwz~„‹??’“•–˜œ¡¤¤¡œ™šŸ¢¡   
1,105425,72.8589632,68.8025409530226,27.1914208,1.33024976294053,¢¢¡ ¡¡¤£¥¥¢ ¢¥¤¢Ÿ˜’‘?ŽŽŽ??‘?Ž??‹‡ˆŒ?ŽŒ‰…??……€{wvuuwuqnmnllljiea][[][WRRPNKJGEBB@@>>??BEIPW]][VUW^floqtwz~„‹??‘“•–˜?¡¤¤¡œ™šŸ¢¡ ¡ 
1,107172,72.8332032,68.8041261305682,27.2004736,1.3302628986355,¢¢¡ ¢¡££¥¥¢ ¢¥¤¢Ÿ˜’??Ž?Ž???????‹‡ˆŒ?ŽŒˆ…??……€zwvuuwuqnmnllljifa\[[\[VRRPNKIGDBB@@>>??BEIPW]][UUW^flpqtwy~„‹?‘‘“•–˜œ¡¤¤¡œ™šŸ¢¢ ¡ 
