Pixel #,Chan 1
1, 2.69352869352869
2, 2.76923076923077
3, 2.59462759462759
4, 2.42857142857143
5, 2.44688644688645
6, 2.49206349206349
7, 2.5970695970696
8, 2.61660561660562
9, 2.57020757020757
10, 2.68498168498168
11, 2.64102564102564
12, 2.5958485958486
13, 2.61294261294261
14, 2.78021978021978
15, 3.004884004884
16, 2.96336996336996
17, 2.87179487179487
18, 2.71184371184371
19, 2.77411477411477
20, 2.93040293040293
21, 2.76556776556777
22, 2.57997557997558
23, 2.46031746031746
24, 2.35286935286935
25, 2.44566544566545
26, 2.28571428571429
27, 2.18925518925519
28, 2.15750915750916
29, 2.3028083028083
30, 2.52136752136752
31, 2.80952380952381
32, 2.83028083028083
33, 2.66056166056166
34, 2.68131868131868
35, 3.07570207570208
36, 3.25396825396825
37, 3.21855921855922
38, 3.37851037851038
39, 3.30525030525031
40, 3.24786324786325
41, 3.07326007326007
42, 2.78998778998779
43, 2.63125763125763
44, 2.52625152625153
45, 2.53113553113553
46, 2.41514041514042
47, 2.29304029304029
48, 2.12087912087912
49, 2.08058608058608
50, 2.18925518925519
51, 2.32722832722833
52, 2.24420024420024
53, 2.09401709401709
54, 2.01587301587302
55, 2.01221001221001
56, 1.8962148962149
57, 1.84737484737485
58, 1.8021978021978
59, 1.73137973137973
60, 1.64713064713065
61, 1.63369963369963
62, 1.58241758241758
63, 1.57631257631258
64, 1.55799755799756
65, 1.55433455433455
66, 1.56166056166056
67, 1.58852258852259
68, 1.49328449328449
69, 1.3956043956044
70, 1.34676434676435
71, 1.37606837606838
72, 1.34798534798535
73, 1.36263736263736
74, 1.4029304029304
75, 1.42857142857143
76, 1.45177045177045
77, 1.52014652014652
78, 1.58852258852259
79, 1.67155067155067
80, 1.85714285714286
81, 1.90842490842491
82, 1.92063492063492
83, 1.97557997557998
84, 2.03052503052503
85, 2.12087912087912
86, 2.11843711843712
87, 2.20879120879121
88, 2.1990231990232
89, 2.30769230769231
90, 2.35042735042735
91, 2.49206349206349
92, 2.5030525030525
93, 2.47863247863248
94, 2.52258852258852
95, 2.62515262515263
96, 2.70818070818071
97, 2.76923076923077
98, 2.77045177045177
99, 2.79365079365079
100, 2.75824175824176
101, 2.8021978021978
102, 2.87667887667888
103, 2.92429792429792
104, 3.02197802197802
105, 3.14407814407814
106, 3.31746031746032
107, 3.38949938949939
108, 3.18192918192918
109, 3.06227106227106
110, 3.06227106227106
111, 3.13553113553114
112, 2.93894993894994
113, 2.91330891330891
114, 2.95360195360195
115, 2.89377289377289
116, 2.87667887667888
117, 2.97557997557998
118,3
119, 3.1990231990232
120, 3.1001221001221
121, 3.06715506715507
122, 3.05494505494505
123, 3.08424908424908
124, 3.12454212454212
125, 3.1037851037851
126, 3.06105006105006
127, 3.001221001221
128, 2.93040293040293
